displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
1.5,-4.0,-17.58276,32.0,140.66208,-19.801549110798913,0.8109278655089682,-4.6135455962596215,0.188937373630167,19.829015593423264,0.8104775055928676,4.619944988006564,0.18883244466748675,0.0,0.0,0.0,0.0,0.26017477800911676,0.05673555320218669,0.2324276272355573,0.26981659173449646,0.1808454498186553
1.5,-3.0,-13.18707,32.0,140.66208,-25.186232868949766,1.7288923742913886,-5.868118352192114,0.4028131210940933,25.16104624578807,1.719513329814673,5.862250142905957,0.40062790573035806,0.0,0.0,0.0,0.0,0.2632047301056596,0.05997833586850585,0.23432841005507332,0.25932191606123095,0.1831666079095426
1.5,-2.0,-8.79138,32.0,140.66208,-18.354784585579786,1.07436942515114,-4.276465195791901,0.2503163920371704,18.340478053466992,1.0646734464720893,4.273131929396559,0.24805733445102596,0.0,0.0,0.0,0.0,0.2688451889742842,0.05805422664169535,0.24408733420134196,0.26108585388964894,0.16792739629304085
1.5,-1.0,-4.39569,32.0,140.66208,-4.017037747171548,0.5256994901551366,-0.935926108849988,0.12248226409914988,4.066581793901885,0.5187490777815638,0.9474693329348639,0.12086289360349517,0.0,0.0,0.0,0.0,0.2354820682714424,0.053731211076765484,0.22579768024983599,0.3362229294446885,0.14876611095727782
1.5,-0.75,-3.2967675,32.0,140.66208,0.7042143859502648,0.7222199689457387,0.16407429342746188,0.16826939845040947,-0.6639514128847976,0.702248078721812,-0.15469345857261696,0.1636161652272912,0.0,0.0,0.0,0.0,0.23225001971411033,0.05260831038142133,0.2143610154657189,0.3593289050747311,0.14145174936402835
1.5,-0.5,-2.197845,32.0,140.66208,5.504102245200875,0.8917620911814429,1.282395964710696,0.20777086912042236,-5.594940311820116,0.884793013348718,-1.3035602463473979,0.20614714977577656,0.0,0.0,0.0,0.0,0.23572678355788285,0.04914554001134237,0.18872279237258666,0.40326593509665054,0.12313894896154627
1.5,-0.25,-1.0989225,32.0,140.66208,3.2677785752269273,0.9657778522221219,0.7613568701586031,0.22501573650389406,-3.335126209396235,0.9625225972545621,-0.777048136498511,0.2242572974981247,0.0,0.0,0.0,0.0,0.23940403234066024,0.04612732442155899,0.17516436196048457,0.4336719157304822,0.10563236554682343
1.5,-0.1,-0.43956900000000004,32.0,140.66208,0.7079678468209336,0.41469365931710334,0.16494880899054795,0.09661911272870205,-0.7384312893199224,0.35830317621467817,-0.17204645979562921,0.08348074342575361,0.0,0.0,0.0,0.0,0.24017469968255672,0.04187487542205258,0.1844928481758233,0.4362218843846374,0.09723569233493909
1.5,-0.05,-0.21978450000000002,32.0,140.66208,-0.22817517749981758,0.16981036119684337,-0.05316233489812903,0.039563967430795835,0.21575701929353985,0.1470846374399911,0.050269039086490566,0.03426912094310059,0.0,0.0,0.0,0.0,0.24468619014210308,0.03984694132704448,0.19038185014353254,0.43173084037612475,0.09335417801120668
1.5,0.05,0.21978450000000002,32.0,140.66208,1.7219846993057852,0.2794888643551058,0.40120370794505616,0.06511786588686129,1.8162414510708988,0.2633137161732583,0.42316450604173256,0.06134923226907469,0.0,0.0,0.0,0.0,0.2451685682714959,0.04091140190348407,0.19848510537682454,0.42188326632022094,0.09355165812798602
1.5,0.1,0.43956900000000004,32.0,140.66208,2.5031504156511,0.4146310053483577,0.5832068244905432,0.09660451503536112,2.5318964263277985,0.4141187809049998,0.5899043323585105,0.0964851723106214,0.0,0.0,0.0,0.0,0.24524361285247626,0.042976713357995924,0.19851903307664553,0.41565045353386865,0.09761018717902256
1.5,0.25,1.0989225,32.0,140.66208,3.82784809322201,0.45781284928528393,0.8918469769622325,0.106665415059841,3.7953978600879394,0.46674256872852077,0.8842864255459979,0.10874594257729224,0.0,0.0,0.0,0.0,0.23981704770590198,0.046252325322826346,0.19530678636701948,0.40961639306742137,0.10900744753684058
1.5,0.5,2.197845,32.0,140.66208,1.618752895598562,0.5308352105699483,0.3771518203516929,0.12367883110361992,1.6424419400558488,0.5319977875813167,0.38267111008624766,0.12394969890396722,0.0,0.0,0.0,0.0,0.23601534266600455,0.050904856576868086,0.20335950002201225,0.38017810502613,0.12954219570899392
1.5,0.75,3.2967675,32.0,140.66208,-3.9133604217646356,0.945456459685012,-0.9117704195457517,0.2202810730427249,-3.7914915149911956,0.9392698301210358,-0.8833762896208887,0.2188396556353865,0.0,0.0,0.0,0.0,0.23832543573109302,0.05321408917609588,0.22405443013230647,0.34025769131840483,0.1441483536421101
1.5,1.0,4.39569,32.0,140.66208,-9.28270042626298,0.8024933077630138,-2.1627682477441796,0.1869722134031813,-9.20623975390661,0.7990870335047108,-2.144953742613144,0.18617858854503946,0.0,0.0,0.0,0.0,0.23860697780809453,0.05481637173351674,0.23790371098173702,0.31768178012328246,0.15099115935337987
1.5,2.0,8.79138,32.0,140.66208,-23.995967400634445,1.2490635463105377,-5.590799442494725,0.29101822242719017,-24.04262079579553,1.228104145217839,-5.601669176200488,0.28613490991106355,0.0,0.0,0.0,0.0,0.27101532246519144,0.0590350537586712,0.2352107244114352,0.261797335585125,0.17294156377958875
1.5,3.0,13.18707,32.0,140.66208,-30.02417077284478,1.8657365261991175,-6.9953052700742075,0.43469632027589267,-30.025157892934622,1.8686357349513874,-6.9955352583199755,0.4353718043855868,0.0,0.0,0.0,0.0,0.2664974299573001,0.06337781889574624,0.2229723812148831,0.2613850939835638,0.18576727594851988
1.5,4.0,17.58276,32.0,140.66208,-25.487326277098454,0.7055067081892811,-5.938269841828327,0.16437539045484093,-25.507551865072877,0.6981811857088294,-5.9429821838682875,0.1626686233836951,0.0,0.0,0.0,0.0,0.2586670209400338,0.05630320714003166,0.2268581220224271,0.27990898382635476,0.17826266607116495
